,TeamNumber,overallDiff,goalsDiff,supportDiff,communicateDiff,workAllocationDiff,teamRoleDiff,enjoyDiff,conflictResDiff,efficiencyDiff,expressionDiff,percentile,percentileCategory
0,1,2.9,0.5999999999999979,0.2999999999999998,0.1999999999999993,0.5,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.10000000000000053,0.2999999999999998,94.12,Exceptional
1,2,-0.5,0.1999999999999993,-0.09999999999999964,-0.20000000000000018,-0.09999999999999964,-0.2999999999999998,0.2999999999999998,-0.09999999999999964,0.10000000000000053,-0.2999999999999998,47.06,Standard
2,3,1.0,0.09999999999999787,-0.09999999999999964,0.09999999999999964,-0.2999999999999998,0.20000000000000018,0.2999999999999998,0.20000000000000018,0.20000000000000018,0.2999999999999998,64.71,Strong
3,4,0.1,0.3999999999999986,0.10000000000000053,0.1999999999999993,0.10000000000000053,0.10000000000000053,-0.09999999999999964,-0.5,-0.2999999999999998,0.09999999999999964,52.94,Strong
4,5,-0.9,-0.20000000000000107,-0.09999999999999964,0.0,-0.09999999999999964,-0.09999999999999964,-0.2999999999999998,-0.2999999999999998,0.10000000000000053,0.09999999999999964,38.24,Standard
5,6,6.5,1.3999999999999986,0.7000000000000002,0.5999999999999996,0.7000000000000002,0.7000000000000002,0.5,0.7000000000000002,0.7000000000000002,0.5,100.0,Exceptional
6,7,1.3,0.3999999999999986,0.5,-0.20000000000000018,-0.09999999999999964,0.20000000000000018,0.2999999999999998,0.20000000000000018,-0.2999999999999998,0.2999999999999998,70.59,Strong
7,8,-4.1,-0.9000000000000021,-0.5999999999999996,-0.7000000000000002,-0.2999999999999998,-0.5999999999999996,-0.5,0.0,0.0,-0.5,11.76,Weak
8,9,2.2,-0.3000000000000007,0.40000000000000036,0.39999999999999947,-0.09999999999999964,0.40000000000000036,0.2999999999999998,0.20000000000000018,0.7000000000000002,0.20000000000000018,88.24,Exceptional
9,10,-1.7,-0.20000000000000107,-0.09999999999999964,-0.20000000000000018,-0.2999999999999998,-0.09999999999999964,-0.2999999999999998,-0.09999999999999964,-0.09999999999999964,-0.2999999999999998,29.41,Standard
10,11,1.9,0.1999999999999993,0.10000000000000053,0.39999999999999947,-0.09999999999999964,0.10000000000000053,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,76.47,Exceptional
11,12,-1.9,-0.6000000000000014,-0.09999999999999964,0.0,0.10000000000000053,-0.09999999999999964,-0.09999999999999964,-0.2999999999999998,-0.7000000000000002,-0.09999999999999964,23.53,Standard
12,13,-7.1,-1.4000000000000021,-0.7000000000000002,-0.8000000000000007,-0.7000000000000002,-0.7000000000000002,-0.7000000000000002,-0.7000000000000002,-0.5,-0.9000000000000004,5.88,Needs Attention
13,14,2.1,0.1999999999999993,0.2999999999999998,0.1999999999999993,0.10000000000000053,0.10000000000000053,0.5,0.10000000000000053,0.10000000000000053,0.5,82.35,Exceptional
14,15,0.7,0.1999999999999993,-0.09999999999999964,0.1999999999999993,0.10000000000000053,0.10000000000000053,0.09999999999999964,0.10000000000000053,-0.09999999999999964,0.09999999999999964,58.82,Strong
15,16,-0.9,-0.6000000000000014,-0.2999999999999998,0.2999999999999998,0.40000000000000036,-0.2999999999999998,-0.20000000000000018,0.0,0.0,-0.20000000000000018,38.24,Standard
16,17,-2.3,-0.40000000000000213,-0.09999999999999964,-0.40000000000000036,-0.09999999999999964,-0.09999999999999964,-0.2999999999999998,-0.09999999999999964,-0.5,-0.2999999999999998,17.65,Weak
