,TeamNumber,overallDiff,goalsDiff,supportDiff,communicateDiff,workAllocationDiff,teamRoleDiff,enjoyDiff,conflictResDiff,efficiencyDiff,expressionDiff,percentile,percentileCategory
0,1,5.9,0.8999999999999986,0.8999999999999995,0.5,0.40000000000000036,0.5999999999999996,0.5999999999999996,0.5999999999999996,0.9000000000000004,0.5,90.0,Exceptional
1,2,2.9,0.8999999999999986,0.2999999999999998,0.20000000000000018,-0.39999999999999947,0.8999999999999995,0.2999999999999998,0.09999999999999964,0.40000000000000036,0.20000000000000018,60.0,Strong
2,3,4.4,1.5,0.5999999999999996,0.20000000000000018,0.40000000000000036,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.6000000000000005,0.20000000000000018,70.0,Strong
3,5,7.6,1.5,0.8999999999999995,0.7999999999999998,1.2000000000000002,0.5999999999999996,0.5999999999999996,0.5999999999999996,0.9000000000000004,0.5,100.0,Exceptional
4,7,0.8,0.5,0.7999999999999998,-0.2999999999999998,0.40000000000000036,0.09999999999999964,-0.20000000000000018,0.09999999999999964,-0.5999999999999996,0.0,50.0,Strong
5,8,4.6,-0.10000000000000142,0.09999999999999964,0.5,0.9000000000000004,0.09999999999999964,0.5999999999999996,0.5999999999999996,1.4000000000000004,0.5,80.0,Exceptional
6,9,-4.4,-1.0,-0.7000000000000002,-0.40000000000000036,-0.5999999999999996,-0.7000000000000002,0.20000000000000018,-0.10000000000000053,-1.0,-0.09999999999999964,30.0,Standard
7,10,-13.2,-1.8000000000000007,-1.7000000000000002,-1.0,-1.3999999999999995,-0.7000000000000002,-2.0,-1.1000000000000005,-2.3999999999999995,-1.0999999999999996,10.0,Weak
8,11,-6.5,-1.8000000000000007,-0.9000000000000004,-0.5,-0.39999999999999947,-0.7000000000000002,-0.40000000000000036,-0.9000000000000004,-0.39999999999999947,-0.5,20.0,Standard
9,18,-0.8,-0.6000000000000014,0.2999999999999998,0.0,-0.1999999999999993,-0.5,0.20000000000000018,0.09999999999999964,0.0,-0.09999999999999964,40.0,Standard
